Product Name,Rating,Price,Discount in Percent,Price Before Discount,Processor Brand,Processor Name,SSD,SSD Capacity,RAM,RAM Type,Processor Variant,Graphic Processor,Storage Type,Ratings Count,Reviews Count,Brand
Lenovo IdeaPad 3 Intel Core i3 12th Gen 1215U - (8 GB/256 GB SSD/Windows 11 Home) 15IAU7 Thin and Ligh...,4.5,34191,40.0,57590.0,Intel,Core i3,Yes,256,8 GB,DDR4,1215U,Intel Integrated UHD,SSD,6.0,0.0,Lenovo
Lenovo AMD Athlon Dual Core - (4 GB/256 GB SSD/DOS) E41-55 45-2 Laptop,3.8,20500,46.0,38000.0,AMD,Athlon Dual Core,Yes,256,4 GB,DDR4,Unknown,AMD Radeon RADEON,SSD,291.0,19.0,Lenovo
ASUS Vivobook 15 Intel Core i3 11th Gen 1115G4 - (8 GB/512 GB SSD/Windows 11 Home) X515EA-EJ328WS Thin...,4.1,38133,23.0,49990.0,Intel,Core i3,Yes,512,8 GB,DDR4,1115G4,Intel Integrated Integrated,SSD,264.0,19.0,ASUS
Lenovo Intel Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/DOS) V15 G3 IAP Thin and Light Laptop,4.0,30990,52.0,65490.0,Intel,Core i3,Yes,512,8 GB,DDR4,1215U,Intel Integrated UHD,SSD,57.0,5.0,Lenovo
Lenovo Legion 7 Intel Core i7 14th Gen 14700HX - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA ...,,199490,21.0,252590.0,Intel,Core i7,Yes,1024.0,32 GB,DDR5,14700HX,NVIDIA GeForce RTX 4070,SSD,0.0,0.0,Lenovo
ASUS Intel Core i5 12th Gen 12500H - (16 GB/512 GB SSD/Windows 11 Home) X1605ZAC-MB540WS Thin and Ligh...,3.3,51499,25.0,68990.0,Intel,Core i5,Yes,512,16 GB,DDR4,12500H,Intel Integrated Integrated,SSD,6.0,0.0,ASUS
MICROSOFT Surface Laptop (7th Edition) AI PC Qualcomm Snapdragon X Plus - (16 GB/512 GB SSD/Windows 11...,,131990,2.0,134999.0,Qualcomm,Snapdragon X Plus,Yes,512,16 GB,LPDDR5X,Unknown,Qualcomm Snapdragon X Elite - X1P64100 - Qualcomm Adreno GPU (10 Core),SSD,0.0,0.0,MICROSOFT
Acer Extensa 15 Intel Core i3 11th Gen 1115G4 - (4 GB/256 GB SSD/Windows 11 Home) EX215-54/ EX215-54-3...,4.1,26500,51.0,55000.0,Intel,Core i3,Yes,256,4 GB,DDR4,1115G4,Intel Integrated UHD,SSD,227.0,29.0,Acer
Lenovo LOQ AI Powered AMD Ryzen 7 Octa Core 7840HS - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/N...,4.0,109990,8.0,120000.0,AMD,Ryzen 7 Octa Core,Yes,512,16 GB,DDR5,7840HS,NVIDIA GeForce RTX 4050,SSD,245.0,30.0,Lenovo
HP Pavilion Intel Core i5 13th Gen 1340P - (16 GB/512 GB SSD/Windows 11 Home) 15-eg3079TU Thin and Lig...,4.3,68490,18.0,83705.0,Intel,Core i5,Yes,512,16 GB,DDR4,1340P,Intel Integrated Iris Xe,SSD,1170.0,79.0,HP
Lenovo Intel Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) V14 Thin and Light Laptop,2.4,42990,54.0,95200.0,Intel,Core i5,Yes,512,16 GB,DDR4,Unknown,NA INTEL,SSD,14.0,2.0,Lenovo
Apple MacBook Pro Apple M3 Max - (48 GB/1 TB SSD/macOS Sonoma) MUW63HN/A,,345990,13.0,399900.0,Apple,M3 Max,Yes,1024.0,48 GB,Unified Memory,Unknown,Unknown,SSD,0.0,0.0,Apple
Lenovo IdeaPad Slim 5 Intel Core i5 13th Gen - (16 GB/512 GB SSD/Windows 11 Home) 82XD003MIN Thin and ...,4.2,66490,10.0,73990.0,Intel,Core i5,Yes,512,16 GB,LPDDR5,Unknown,Intel Integrated Integrated Intel® UHD Graphics,SSD,90.0,4.0,Lenovo
"Lenovo IdeaPad Slim 3 Intel Intel Core i7 13th Gen Core™ i7-13620H, 10C (6P + 4E) / 16T, P-core 2.4 / ...",3.5,67990,32.0,99990.0,Intel,Core i7,Yes,512,16 GB,LPDDR5,"Core™ i7-13620H, 10C (6P + 4E) / 16T, P-core 2.4 / 4.9GHz, E-core 1.8 / 3.6GHz",Intel Integrated Integrated Intel® UHD Graphics,SSD,11.0,1.0,Lenovo
Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) 15IAU7 Thin and...,4.1,46450,39.0,76890.0,Intel,Core i5,Yes,512,8 GB,DDR4,1235U,Intel Integrated UHD Graphics,SSD,1825.0,139.0,Lenovo
ASUS ExpertBook B15 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) B1502CBA-NJ1090WS...,4.3,32990,35.0,50990.0,Intel,Core i3,Yes,512,8 GB,DDR4,1215U,Intel Integrated UHD,SSD,252.0,22.0,ASUS
DELL Inspiron Intel Core i7 13th Gen I7-1355U - (16 GB/512 GB SSD/Windows 11 Home) 5430 Notebook,,79890,25.0,107329.0,Intel,Core i7,Yes,512,16 GB,LPDDR5,I7-1355U,Intel Integrated Intel Iris Xe Graphics,SSD,0.0,0.0,DELL
Lenovo IdeaPad Gaming 3 AMD Ryzen 5 Hexa Core 7535HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics...,4.2,58990,32.0,87590.0,AMD,Ryzen 5 Hexa Core,Yes,512,16 GB,DDR5,7535HS,NVIDIA GeForce RTX 2050,SSD,211.0,18.0,Lenovo
FUTOPIA Ultimus Intel Dual Core Upto 2.8GHz - (8 GB/256 GB SSD/Windows 11 Home) NU14U3INC54BN-MB Thin ...,,16990,52.0,35990.0,Intel,Dual Core,Yes,256,8 GB,DDR4,Upto 2.8GHz,Intel Integrated Integrated,SSD,0.0,0.0,FUTOPIA
