Product Name,Rating,Price,Number of Ratings and Reviews,Discount,Price Before Discount,Is Flipkart Assured,Product URL,In The Box,Model Number,Model Name,Color,Browse Type,SIM Type,Hybrid Sim Slot,Touchscreen,OTG Compatible,Sound Enhancements,Display Size,Resolution,Resolution Type,Display Type,Display Colors,Other Display Features,Operating System,Processor Brand,Processor Type,Processor Core,Primary Clock Speed,Operating Frequency,Internal Storage,RAM,Call Log Memory,Primary Camera Available,Primary Camera,Primary Camera Features,Secondary Camera Available,Secondary Camera,Secondary Camera Features,Flash,Video Recording Resolution,Digital Zoom,Frame Rate,Dual Camera Lens,Phone Book,Network Type,Supported Networks,Internet Connectivity,3G,GPRS,Pre-installed Browser,Bluetooth Support,Wi-Fi,Wi-Fi Version,Wi-Fi Hotspot,NFC,Infrared,USB Connectivity,EDGE,Map Support,GPS Support,Smartphone,SIM Size,User Interface,SMS,Sensors,Other Features,GPS Type,DLNA Support,Audio Formats,Video Formats,Battery Capacity,Battery Type,Width,Height,Depth,Warranty Summary,Domestic Warranty,Quick Charging,SAR Value,GPU,Secondary Clock Speed,Tertiary Clock Speed,Optical Zoom,HD Recording,Full HD Recording,Video Recording,Video Call Support,Speaker Phone,Call Records,Micro USB Port,Micro USB Version,Bluetooth Version,Audio Jack,Touchscreen Type,Graphics PPI,Ringtones Format,FM Radio,FM Radio Recording,Weight,HD Game Support,Total Memory,Expandable Storage,Supported Memory Card Type,Memory Card Slot Type,Phone Book Memory,SMS Memory,Image Editor,Call Wait/Hold,Conference Call,Hands Free,Call Divert,Call Timer,Speed Dialing,Logs,3G Speed,Mini USB Port,Mini HDMI Port,USB Tethering,TV Out,Mobile Tracker,Social Networking Phone,Instant Message,Business Phone,Removable Battery,MMS,Keypad,Voice Input,Predictive Text Input,User Memory,SIM Access,Upgradable Operating System,Series,Browser,Music Player,Dual Battery,Covered in Warranty,Warranty Service Type,Not Covered in Warranty,Talk Time,Additional Content,Supported Languages,Java Application,JAVA Support,Important Apps,Keypad Type,Hot SWAP Support,WAP,Games,International Warranty,WAP Version,EDGE Features,GPRS Features,Mini USB Version
Not Available,No Rating,Price Not Available,Not Available,Not Available,Not Available,No,Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Available,No Rating,Price Not Available,Not Available,Not Available,Not Available,No,Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Infinix Note 40 5G (Racing Grey, 256 GB)",4.2,"₹15,999","7,936 Ratings & 817 Reviews",36% off,"₹24,999",Yes,https://www.flipkart.com/infinix-note-40-5g-racing-grey-256-gb/p/itm72c4c7b7d8834?pid=MOBH4QCGMFY8ZY8B&lid=LSTMOBH4QCGMFY8ZY8B1ZWPF8&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_3y8MOy-JZMuOUKMCrW6MVFBg8E-DJ1fZt3UiPWp_A9DkuKeMz4aBKlIP_Mng7a4TWGb05-yyISSXz259euNgXU4IsYyWu-Pj9cxFjFAoaLk%3D&ppt=None&ppn=None&ssid=roncijph2o0000001737974538486&qH=d2d7ba3c0ae30d4a,"Handset, Adaptor, USB Type-C Cable, Magnetic TPU Case, Stickers, Sim Ejector Pin, Quick Start Guide, Warranty Card, Xclub Card",X6852,Note 40 5G,Racing Grey,Smartphones,Dual Sim,No,Yes,Yes,"JBL, DTS, Hi-Res",17.22 cm (6.78 inch),2400 x 1080 Pixels,Full HD+,Full HD+ AMOLED,10 Bit,"120Hz Refresh Rate with 1500Hz Instantaneous Touch Response Rate, 1300 Nits Peak Brightness, 93.8% Screen-to-Body Ratio, 100% Wide Color Gamut, TUV Rheinland Certification, 2160Hz PWM Dimming, Contrast Ratio: 10000000:1",Android 14,Mediatek,Dimensity 7020,Octa Core,2.2 GHz,"2G GSM: B2/B3/B5/B8, 3G WCDMA: B1/B2/B4/B5/B8, 4G FDD: B1/B2/B3/B4/B5/B7/B8/B12/B17/B20/B28/B66, 4G TDD: B38/B40/B41/B42, 5G Sub6 TDD: n38/n40/n41/n77/n78, 5G Sub6 FDD: n1/n3/n5/n7/n8/n12/n20/n28/n66",256 GB,8 GB,Yes,Yes,108MP + 2MP + 2MP,"AI Triple Rear Camera Setup: 108MP (f/1.75 Aperture, 6P Lens, PDAF) + 2MP Camera + AI Lens, Features: Video, AI Cam, Portrait, Super Night, AR Shot, Short Video, Pro, Slow Motion, Dual Video, Panoroma, Super Macro, Documents, Timelapse, Sky Shop",Yes,32MP Front Camera,"AI Camera Setup: 32MP Camera, Features: Film Mode, Video Recording, AI Cam, Portrait, Beauty, Wideselfie, AR Shots, Short Video, Timelapse, Super Night, HDR",Rear: Quad LED Flash|Front: Dual LED Flash,"Rear: 2K (at 30 fps), 1080p (at 60 fps), 1080p (at 30 fps), 720p (at 30 fps)","Dual Digital Zoom, 3X & 10X","30 fps, 60 fps",Primary Camera,Yes,"5G, 4G, 3G, 2G","5G, 4G LTE, WCDMA, GSM","5G, 4G, EDGE, GPRS, Wi-Fi",Yes,Yes,Yes,Yes,Yes,802.11 (a/b/g/n/ac) (2.4 GHz | 5 GHz),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Nano Sim,XOS 14 (Based on Android 14),Yes,"G-Sensor, E-Compass, Gyroscope, Light Sensor, Proximity Sensor, Fingerprint, In-Display Fingerprint Sensor","X-Boost Mode, Dual View Video, UFS 2.2 Internal Storage, Dedicated Power Management Chip INFINIX Cheetah X1 Chip, 33W Type-C Charge with Multi Mode Fast Charging & By Pass Technology, 15W Wireless Magnetic Charging, Wireless Reverse Charging, Wired Reverse Charging, 1600 Battery Cycles, AI Smart Charge, In-Display Fingerprint Sensor, Dual Speakers, Dual Mics, Expandable RAM Upto 16GB, IP53 Rating, IR Remote Control, AI Active Halo Lighting, Dark Theme, xArena, Power Marathon Tech, Smart Panel, Game Mode, Video Assistant, Kids Mode, Peek Proof, Mem Fusion, IR Remote Control",A-GPS,No,"MP3, FLAC, OGG, WAV, AAC","MP4, 3GP, 3G2, WEBM, MOV, MKV",5000 mAh,Li-ion Polymer,74.5 mm,164.28 mm,8.09 mm,1 Year on Handset,1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"realme 14 Pro+ 5G (Pearl White, 128 GB)",4.5,"₹29,999",561 Ratings & 51 Reviews,11% off,"₹33,999",Yes,https://www.flipkart.com/realme-14-pro-5g-pearl-white-128-gb/p/itmb5105a70ea6a6?pid=MOBH84ZXN8NZVFVS&lid=LSTMOBH84ZXN8NZVFVSDKV06E&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=en_3y8MOy-JZMuOUKMCrW6MVFBg8E-DJ1fZt3UiPWp_A9AisbeWKR5TwGJMJ2PmYbiJG0gc3j0NxouVBwmi795iy_UFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=roncijph2o0000001737974538486&qH=d2d7ba3c0ae30d4a,"Handset, Charger, USB Data Cable, Sim Ejector Tool, Quick Guide, Safety Guide, Protective Case",RMX5051,14 Pro+ 5G,Pearl White,Smartphones,Dual Sim,No,Yes,Yes,,17.35 cm (6.83 inch),2800 x 1272 Pixels,,,1.07 Billion (10 Bits),"Aspect Ratio: 19.8:9, Screen-to-Body Ratio: 93.8%, Touch Sampling Rate: Maximum 240Hz, Default 120Hz, 10 Touch Points, Supports HDR, Contrast Ratio: Maximum Static Contrast Ratio: 5000000:1 (Typical), Maximum Dynamic Contrast Ratio: 10000000:1 (Typical), Brightness: Normal Brightness: 600nit (Typical), HBM: 1200nit (Typical), Color Saturation: 100% DCI-P3 (Typical), Color Gamut: Vivid Mode 100% DCI-P3, Natural Mode 100% sRGB, Cinematic Mode 100% DCI-P3, Colorful Mode 100% DCI-P3, Refresh Rate: 120Hz, Supports Dark Mode, Supports Low Flicker Eye Protection Function in Low Light, Dimming Mode: PWM + DC Dimming (Brightness <=70nit: PWM Dimming; Brightness >70 nits: DC Dimming), Supports Eye Comfort, Supports Sunlight Screen Support",Android 15,Snapdragon,7s Gen 3 Mobile Platform,Octa Core,2.5 GHz,"2G GSM: 850 MHz/900 MHz/1800 MHz, 3G WCDMA: B1/B5/B8, 4G LTE FDD: B1/B3/B5/B8/B28B, 4G LTE TDD: B40/B41 (2535 MHz - 2655 MHz), 5G NR NSA: n1/n3/n40/n41/n78, 5G SA: n1/n3/n5/n8/n28B/n40/n41/n77/n78",128 GB,8 GB,,Yes,50MP + 50MP + 8MP,"Triple Camera Setup: 8MP Ultra Wide Angle Camera (Sony IMX355, f/2.2 Aperture, 1/4 inch Sensor SIze, 1.12um Pixel Size, CMOS, FOV: 112 Degree, Equivalent Focal Length: 16mm, 5P Lens, Effective Focal Length: 1.68mm, EIS, Fixed Focus) + 50MP Wide Angle Camera (Sony IMX896, f/1.8 Aperture, 1/1.56 inch Sensor Size, 6P Lens, FOV: 84 Degree, Equivalent Focal Length: 24mm, Effective Focal Length: 5.59mm, EIS, PDAF, CMOS (4-in-1), Supports 2-Axis OIS, Autofocus) + 50MP Telephoto Camera (Sony IMX882, f/2.65 Aperture, 0.8um Pixel Size, CMOS (4-in-1), 1/1.95 inch Sensor Size, FOV: 33 Degree, Equivalent Focal Length: 73mm, 1G3P Lens Structure, Effective Focal Length: 13.85mm, EIS, PDAF, Supports 2-Axis OIS, Autofocus), 20 Burst Photos, Camera Features: Night, Street, Video, Photo, Portrait, Pro, Pano, Hi-Res, Move, Slo-Mo, Timelaps, Long Exposure, Dual View Video, Underwater, Doc Scanner, Starry Mode, Tilt-Shift",Yes,32MP Front Camera,"Front Camera Setup: 32MP Camera (GC32E2, f/2.0 Aperture, 1/3.1 inch Sensor Size, 0.7um Pixel Size, CMOS (4-in-1), FOV: 90 Degree, 5P Lens, Equivalent Focal Length: 21mm, Effective Focal Length: 2.78mm, EIS, PDAF, Autofocus), Camera Features: Night, Video, Photo, Portrait, Panorama, Timelapse, Dual View Video",Three Rear LED Lights with Three Colors Temperature,"Rear Camera: 1080p (at 60 fps/at 30 fps),720p (at 60 fps/at 30 fps), 4K (at 30 fps), EIS/OIS Video: 1080p (at 60 fps/at 30 fps), 720p (at 60 fps/at 30 fps), 4K (at 30 fps), Video Zoom: 1080p (at 60 fps/at 30 fps), 720p (at 60 fps/at 30 fps), 4K (at 30 fps), Slo-Mo: 720p (at 240 fps/at 120 fps), 1080p (at 120 fps), Cinematic: 3840 x 1644 (at 30 fps), Timelapse: 4K (at 30 fps), 1080p (at 30 fps), Dual View Video: 1080p (at 30 fps) | Front Camera: 4K (at 30 fps), Default 1080p (at 30 fps (With Retouch On), 720p (at 30 fps), EIS/OIS Video: 4K (at 30 fps), Default 1080p (at 30 fps (With Retouch on), 720p (at 30 fps), Video Zoom Dual View Video",120X,"240 fps, 120 fps, 60 fps, 30 fps",Primary Camera,,"5G, 4G VOLTE, 4G, 3G, 2G","5G, 4G VoLTE, 4G LTE, WCDMA, GSM","5G, 4G, 3G, HSPA+, EDGE, GPRS, Wi-Fi",Yes,Yes,,Yes,Yes,"WiFi 2.4 GHz, WiFi 5 GHz,WiFi 6 (802.11 ax), WiFi 5 (802.11 ac), 802.11 b/g/a/n, WLAN (2.4 GHz|5.1 GHz|5.4 GHz|5.8 GHz), WLAN Display, WLAN Tethering, Wi-Fi 2.4 GHz 20M, Wi-Fi 2.4 GHz 40M, Wi-Fi 5 GHz 20M, Wi-Fi 5 GHz 40M, Wi-Fi 5 GHz 80M",Yes,No,,Yes,Yes,,Yes,Yes,Nano Sim,ColorOS 15.0 (Based on Android 15),Yes,"Proximity Sensor, Ambient Light Sensor, Color Temperature Sensor, Accelerometer, Gyroscope, E-Compass",,"BEIDOU, GPS, GLONASS, GALILEO, QZSS",Yes,,"MP4, 3GP, MKV, MOV, AVI, FLV, HEVC, AVC, AV1",6000 mAh,BLP77 Lithium-ion Polymer Battery,77.34 mm,163.51 mm,7.99 mm,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,1 Year,Yes,Head SAR: 1.19 W/Kg Body SAR: 1.19 W/Kg,Adreno 810,2.4 GHz,1.8 GHz,No,Yes,Yes,Yes,Yes,Yes,Supported,Yes,USB 2.0 (Type C),v5.2,Type C,Capacitive,450 PPI,"MP3, AMR, APE, OGG, FLAC, WAV, MIDI, WMA",Yes,No,194 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SAMSUNG Galaxy F05 (Twilight Blue, 64 GB)",4.2,"₹6,499","28,392 Ratings & 1,612 Reviews",35% off,"₹9,999",Yes,https://www.flipkart.com/samsung-galaxy-f05-twilight-blue-64-gb/p/itm84a914081ab93?pid=MOBH4GTXZ9ZRQ3SU&lid=LSTMOBH4GTXZ9ZRQ3SUMNTD31&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=9f7ee05a-5477-47c9-a78a-a6be5916d534.MOBH4GTXZ9ZRQ3SU.SEARCH&ppt=None&ppn=None&ssid=roncijph2o0000001737974538486&qH=d2d7ba3c0ae30d4a,"Handset, Data Cable (C to C), Sim Ejection Pin, Quick Start Guide",SM-E055FDBDINS,Galaxy F05,Twilight Blue,Smartphones,Dual Sim,No,Yes,Yes,,17.12 cm (6.74 inch),1600 x 720 Pixels,HD+,HD+,16 Million,60Hz Refresh Rate,Android 14,Mediatek,Helio G85,Octa Core,2 GHz,B1(2100)/B3(1800)/B5(850)/B7(2600)/B8(900)/B20(800)/B28(700),64 GB,4 GB,Yes,Yes,50MP + 2MP,,Yes,8MP Front Camera,Fixed Focus,Rear Flash,Full HD (1920 x 1080) (at 60 fps),,60 fps,Primary Camera,Yes,"2G, 3G, 4G","4G LTE, GSM, WCDMA","4G LTE, 3G, 2G, GPRS, Wi-Fi",Yes,Yes,Google Chrome | Samsung Internet,Yes,Yes,"802.11 a/b/g/n/ac (2.4 GHz | 5 GHz), VHT80",Yes,No,No,Yes,,Google Maps,Yes,Yes,Nano Sim,,Yes,"Accelerometer, Light Sensor, Proximity Sensor",,,No,"MP3, M4A, 3GA, AAC, OGG, OGA, WAV, AMR, AWB, FLAC, MID, MIDI, XMF, MXMF, IMY, RTTTL, RTX, OTA","MP4, M4V, 3GP, 3G2, AVI, FLV, MKV, WEBM",5000 mAh,Lithium-ion,78.2 mm,168.8 m,8.8 mm,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,1 Year,Yes,,ARM Mali G52,1.8 GHz,,,Yes,Yes,Yes,Yes,Yes,"Outgoing, Missed",Yes,USB 2.0,v5.3,3.5mm,Full Touch Capacitance,260 ppi,"MP3, M4A, 3GA, AAC, OGG, OGA, WAV, AMR, AWB, FLAC, MID, MIDI, XMF, MXMF, IMY, RTTTL, RTX, OTA",Yes,Yes,195 g,Yes,64 GB,1 TB,MicroSD,Dedicated Slot,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Incoming Calls, Outgoing Calls, Missed Calls, Spam Calls","HSPA+ 42.2, 5.76Mbps",No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,47.1,Dual/Single,2 OS Upgrade Expectation Count,F Series,"Google Chrome, Samsung Internet",Yes,No,Manufacturing Defects Only,,,,,,,,,,,,,,,,,
"MOTOROLA g05 (Forest Green, 64 GB)",4.3,"₹6,999","2,182 Ratings & 196 Reviews",30% off,"₹9,999",Yes,https://www.flipkart.com/motorola-g05-forest-green-64-gb/p/itme5ed06a5943b9?pid=MOBH5F3Q2SGMAFHR&lid=LSTMOBH5F3Q2SGMAFHR6YHZS0&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=9f7ee05a-5477-47c9-a78a-a6be5916d534.MOBH5F3Q2SGMAFHR.SEARCH&ppt=None&ppn=None&ssid=roncijph2o0000001737974538486&qH=d2d7ba3c0ae30d4a,"Handset, 10W Charger, USB Type C Cable, Sim Tool, Protective Case, Guides",PB790000IN,g05,Forest Green,Smartphones,Dual Sim,No,Yes,Yes,Stereo Speakers Dolby Atmos,16.94 cm (6.67 inch),1612 x 720 Pixels,HD+,HD+ LCD,8 Bit,"83% NTSC, Refresh Rate: 90Hz, High Brightness Mode: 1000 nits, Typical Brightness: 800 nits, Vision Boost, Water Touch, Aspect Ratio: 20:9, Screen-to-Body Ratio: Active Area-Touch Panel (AA-TP): 91%, Active Area-Body (AA-Body): 87%",Android 15,Mediatek,Helio G81,Octa Core,2 GHz,"4G LTE: B1/B3/B5/B7/B8/B20/B28/B38/B40/B41 (2535 MHz - 2655 MHz), 3G WCDMA: B1/B5/B8, 2G GSM: B3/B5/B8",64 GB,4 GB,,Yes,50MP Rear Camera,"Rear Camera Setup: 50MP Camera (f/1.8 Apeture, 0.64um Pixel Size, Quad Pixel Technology with 1.28um, PDAF), Features: Photo, Night Vision, Live Filter, Portrait, Panorama, Google Photos Editing: Magic Eraser, Photo Unblur, Magic Editor, Portrait Blur, Portrait Light, Sky, Color Pop, Cinematic Photos, Other Features: HDR, Leveler, Timer, Assistive Grid, Watermark, Video Features: Video, Timelapse, Slow Motion, Other Features: Snap in Video Recording",Yes,8MP Front Camera,"Front Camera Setup: 8MP Camera (f/2.05 Aperture, 1.12um Pixel Size), Features: Photo, Portrait, Live Filter, Night Vision, Artificial Intelligence: Face, Retouch, Mirror, Other Features: HDR, Leveler, Assistive Grid, Watermark, Timer, Video Features: Video, Timelapse, Other Features: Snap in Video Recording",Rear: Dual LED Flash,"Rear Camera: FHD (at 30 fps), HD (at 30 fps) | Front Camera: FHD (at 30 fps), HD (at 30 fps)",,30 fps,,,"2G, 3G, 4G","4G LTE, GSM, WCDMA","4G, 3G, Wi-Fi",Yes,,,Yes,Yes,Wi-Fi 802.11 a/b/g/n/ac (2.4 GHz | 5 GHz),Yes,,,Yes,,,Yes,Yes,Nano Sim,,Yes,"Proximity Sensor, Ambient Light Sensor, Accelerometer, Side Fingerprint Reader, Face Unlock","Expandable Upto 12 GB with RAM Boost, ROM Expandable 128 GB Built-in, Body: Vegan Leather Rear, Plastic Frame, Corning Gorilla Glass 3 Front, IP52 Water Repellent Design Protection, Battery Life: 40 Hours, 1 Microphone, Attentive Display, Gestures: Fast Flashlight, Three Finger Screenshot, Flip for DND, Pick-Up to Silence, Media Controls, Lift to Unlock, Quick Launch, (Tap Tap) Sidebar, Double Press Power Key, Press and Hold Power Button, Voice Control: Google Assistant","GPS, A-GPS, LTEPP, SUPL, GLONASS, GALILEO",,,,5200 mAh,,75.98 mm,165.67 mm,8.17 mm,1 Year Warranty on Handset and 6 Months Warranty on Accessories,1 Year,Yes,,Arm Mali G52 MC2,1.7 GHz,,,Yes,Yes,Yes,Yes,Yes,,Yes,USB 2.0 (Type C),v5.4,3.5mm,,263 PPI,,Yes,Yes,188.8 g,,,1 TB,MicroSD,Dedicated Slot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SAMSUNG Galaxy A54 5G (Awesome Graphite, 256 GB)",4.3,"₹23,999","4,458 Ratings & 373 Reviews",47% off,"₹45,999",Yes,https://www.flipkart.com/samsung-galaxy-a54-5g-awesome-graphite-256-gb/p/itm205731bda3f72?pid=MOBGNE4S9UY84GD6&lid=LSTMOBGNE4S9UY84GD6BAR8RB&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&spotlightTagId=TrendingId_tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=9f7ee05a-5477-47c9-a78a-a6be5916d534.MOBGNE4S9UY84GD6.SEARCH&ppt=None&ppn=None&ssid=roncijph2o0000001737974538486&qH=d2d7ba3c0ae30d4a,"Handset, Cable, Ejection Pin, User Manual",SM-A546EZKDINS,Galaxy A54 5G,Awesome Graphite,Smartphones,Dual Sim,Yes,Yes,Yes,,16.26 cm (6.4 inch),2340 x 1080 Pixels,Full HD+,Full HD+ Super AMOLED Display,16 Million,"Refresh Rate: 120 Hz, On-Cell Touch Display",Android 13,Exynos,"Exynos 1380, Octa Core",Octa Core,2.4 GHz,2G GSM: 850/900/1800/1900 MHz,256 GB,8 GB,,Yes,50MP + 12MP + 5MP,"Triple Camera Setup: 50MP + 12MP + 5MP, Camera Features AR Zone, Bixby Vison, Food, Hyperlapse, Macro, Night, Panorama, Photo, Portrait, Pro, Pro Video, Scene Optimizer, Single Take, Slow Motion, Super Slow Mo, Video",Yes,32MP Front Camera,32MP Front Camera Setup: Fixed Focus,Rear Flash,FHD (3840 x 2160),10X,30 fps,Primary Camera,Yes,"2G, 3G, 4G, 5G","4G LTE, 5G, GSM, WCDMA","5G, 4G, 3G, 2G",Yes,,,Yes,Yes,802.11,Yes,No,No,Yes,,Google Maps,Yes,Yes,Nano Sim,,Yes,"Accelerometer, Fingerprint Sensor, Gyro Sensor, Geomagnetic Sensor, Hall Sensor, Light Sensor, Virtual Proximity Sensing",,,No,"MP3, M4A, 3GA, AAC, OGG, OGA, WAV, AMR, AWB, FLAC, MID, MIDI, XMF, MXMF, IMY, RTTTL, RTX, OTA","MP4, M4V, 3GP, 3G2, AVI, FLV, MKV, WEBM",5000 mAh,,76.7 mm,158.2 mm,8.2 mm,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,,,,ARM Mali G68 MP5,2 GHz,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,v5.3,USB (Type C),Full Touch Capacitance,401 PPI,"MP3, M4A, 3GA, AAC, OGG, OGA, WAV, AMR, AWB, FLAC, MID, MIDI, XMF, MXMF, IMY, RTTTL, RTX, OTA",No,No,202 g,Yes,,1 TB,MicroSD,Hybrid Slot,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.76 Mbps,No,,Yes,,,Yes,Yes,No,No,Yes,No,Yes,Yes,,Dual/Single,"5 Years of Security Updates, 4 OS Upgrades and a Free 2 Months of Youtube Premium Membership",Samsung Galaxy A54 5G Series,Google Chrome | Samsung S-Browser 18.0,Yes,No,,NA,Manufacturing Defect,,,,,,,,,,,,,,,
"realme Narzo N61 (Voyage Blue, 64 GB)",4.3,"₹6,699","1,855 Ratings & 97 Reviews",10% off,"₹7,499",Yes,https://www.flipkart.com/realme-narzo-n61-voyage-blue-64-gb/p/itm0ffee8689770b?pid=MOBH39BEEVQNSUGJ&lid=LSTMOBH39BEEVQNSUGJCBFSZD&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=9f7ee05a-5477-47c9-a78a-a6be5916d534.MOBH39BEEVQNSUGJ.SEARCH&ppt=None&ppn=None&ssid=roncijph2o0000001737974538486&qH=d2d7ba3c0ae30d4a,"‎Cell Phone, Eject tool, Warranty card, Quick start guide, Charger, USB cable.",RMX3933,Narzo N61,Voyage Blue,Smartphones,Dual Sim,No,Yes,No,,17.12 cm (6.74 inch),1600*720$$Pixels,,,,,Android,Mediatek,,Octa Core,1.8 GHz,,64 GB,4 GB,,,32MP Rear Camera,,,,,,,,,Primary Camera,,"2G, 3G, 4G","4G LTE, GSM, WCDMA",,,,,,,,,,,,,,,,,,,,,,,,,5000 mAh,,,,,1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MOTOROLA g05 (Plum Red, 64 GB)",4.3,"₹6,999","2,182 Ratings & 196 Reviews",30% off,"₹9,999",Yes,https://www.flipkart.com/motorola-g05-plum-red-64-gb/p/itm87af8109384d4?pid=MOBH5F3QKFHEGBFS&lid=LSTMOBH5F3QKFHEGBFSYF5LHW&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=9f7ee05a-5477-47c9-a78a-a6be5916d534.MOBH5F3QKFHEGBFS.SEARCH&ppt=None&ppn=None&ssid=roncijph2o0000001737974538486&qH=d2d7ba3c0ae30d4a,"Handset, 10W Charger, USB Type C Cable, Sim Tool, Protective Case, Guides",PB790001IN,g05,Plum Red,Smartphones,Dual Sim,No,Yes,Yes,Stereo Speakers Dolby Atmos,16.94 cm (6.67 inch),1612 x 720 Pixels,HD+,HD+ LCD,8 Bit,"83% NTSC, Refresh Rate: 90Hz, High Brightness Mode: 1000 nits, Typical Brightness: 800 nits, Vision Boost, Water Touch, Aspect Ratio: 20:9, Screen-to-Body Ratio: Active Area-Touch Panel (AA-TP): 91%, Active Area-Body (AA-Body): 87%",Android 15,Mediatek,Helio G81,Octa Core,2 GHz,"4G LTE: B1/B3/B5/B7/B8/B20/B28/B38/B40/B41 (2535 MHz - 2655 MHz), 3G WCDMA: B1/B5/B8, 2G GSM: B3/B5/B8",64 GB,4 GB,,Yes,50MP Rear Camera,"Rear Camera Setup: 50MP Camera (f/1.8 Apeture, 0.64um Pixel Size, Quad Pixel Technology with 1.28um, PDAF), Features: Photo, Night Vision, Live Filter, Portrait, Panorama, Google Photos Editing: Magic Eraser, Photo Unblur, Magic Editor, Portrait Blur, Portrait Light, Sky, Color Pop, Cinematic Photos, Other Features: HDR, Leveler, Timer, Assistive Grid, Watermark, Video Features: Video, Timelapse, Slow Motion, Other Features: Snap in Video Recording",Yes,8MP Front Camera,"Front Camera Setup: 8MP Camera (f/2.05 Aperture, 1.12um Pixel Size), Features: Photo, Portrait, Live Filter, Night Vision, Artificial Intelligence: Face, Retouch, Mirror, Other Features: HDR, Leveler, Assistive Grid, Watermark, Timer, Video Features: Video, Timelapse, Other Features: Snap in Video Recording",Rear: Dual LED Flash,"Rear Camera: FHD (at 30 fps), HD (at 30 fps) | Front Camera: FHD (at 30 fps), HD (at 30 fps)",,30 fps,,,"2G, 3G, 4G","4G LTE, GSM, WCDMA","4G, 3G, Wi-Fi",Yes,,,Yes,Yes,Wi-Fi 802.11 a/b/g/n/ac (2.4 GHz | 5 GHz),Yes,,,Yes,,,Yes,Yes,Nano Sim,,Yes,"Proximity Sensor, Ambient Light Sensor, Accelerometer, Side Fingerprint Reader, Face Unlock","Expandable Upto 12 GB with RAM Boost, ROM Expandable 128 GB Built-in, Body: Vegan Leather Rear, Plastic Frame, Corning Gorilla Glass 3 Front, IP52 Water Repellent Design Protection, Battery Life: 40 Hours, 1 Microphone, Attentive Display, Gestures: Fast Flashlight, Three Finger Screenshot, Flip for DND, Pick-Up to Silence, Media Controls, Lift to Unlock, Quick Launch, (Tap Tap) Sidebar, Double Press Power Key, Press and Hold Power Button, Voice Control: Google Assistant","GPS, A-GPS, LTEPP, SUPL, GLONASS, GALILEO",,,,5200 mAh,,75.98 mm,165.67 mm,8.17 mm,1 Year Warranty on Handset and 6 Months Warranty on Accessories,1 Year,Yes,,Arm Mali G52 MC2,1.7 GHz,,,Yes,Yes,Yes,Yes,Yes,,Yes,USB 2.0 (Type C),v5.4,3.5mm,,263 PPI,,Yes,Yes,188.8 g,,,1 TB,MicroSD,Dedicated Slot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
